Starting simulation with 98 batches
Total prompts: 300
Arrival simulation duration: 1151.66 seconds
Output directory: batch_results_sample_py
Max concurrent requests: 300

[t=3.09s] Sending batch 0 (scheduled: 3.09s, size: 2)
[t=3.86s] Completed batch 0 (duration: 0.76s, status: 200)
[t=13.57s] Sending batch 1 (scheduled: 13.56s, size: 5)
[t=34.31s] Sending batch 2 (scheduled: 34.29s, size: 1)
[t=46.01s] Sending batch 3 (scheduled: 46.00s, size: 3)
[t=53.92s] Sending batch 4 (scheduled: 53.92s, size: 6)
[t=68.29s] Sending batch 5 (scheduled: 68.27s, size: 8)
[t=71.58s] Sending batch 6 (scheduled: 71.58s, size: 1)
[t=73.78s] Completed batch 6 (duration: 2.20s, status: 200)
[t=80.05s] Sending batch 7 (scheduled: 80.04s, size: 4)
[t=85.29s] Sending batch 8 (scheduled: 85.29s, size: 4)
[t=89.09s] Completed batch 2 (duration: 54.78s, status: 200)
[t=97.13s] Completed batch 1 (duration: 83.55s, status: 200)
[t=107.15s] Sending batch 9 (scheduled: 107.14s, size: 3)
[t=111.13s] Sending batch 10 (scheduled: 111.12s, size: 1)
[t=113.28s] Completed batch 8 (duration: 27.99s, status: 200)
[t=116.13s] Sending batch 11 (scheduled: 116.13s, size: 3)
[t=116.71s] Sending batch 12 (scheduled: 116.71s, size: 1)
[t=142.76s] Completed batch 12 (duration: 26.05s, status: 200)
[t=146.31s] Completed batch 10 (duration: 35.19s, status: 200)
[t=148.25s] Sending batch 13 (scheduled: 148.25s, size: 3)
[t=148.81s] Completed batch 7 (duration: 68.76s, status: 200)
[t=151.31s] Sending batch 14 (scheduled: 151.31s, size: 2)
[t=159.88s] Sending batch 15 (scheduled: 159.88s, size: 2)
[t=160.31s] Sending batch 16 (scheduled: 160.31s, size: 1)
[t=162.18s] Completed batch 15 (duration: 2.29s, status: 200)
[t=162.63s] Completed batch 16 (duration: 2.32s, status: 200)
[t=162.82s] Completed batch 9 (duration: 55.67s, status: 200)
[t=175.63s] Sending batch 17 (scheduled: 175.63s, size: 3)
[t=183.84s] Sending batch 18 (scheduled: 183.83s, size: 2)
[t=191.74s] Completed batch 14 (duration: 40.43s, status: 200)
[t=193.09s] Sending batch 19 (scheduled: 193.09s, size: 3)
[t=204.13s] Sending batch 20 (scheduled: 204.13s, size: 6)
[t=209.16s] Completed batch 19 (duration: 16.07s, status: 200)
[t=210.20s] Sending batch 21 (scheduled: 210.20s, size: 2)
[t=235.59s] Sending batch 22 (scheduled: 235.58s, size: 1)
[t=237.98s] Completed batch 22 (duration: 2.38s, status: 200)
